task,trial,val_pr_auc,val_roc_auc,val_best_f1,val_best_threshold,best_iteration,max_depth,min_child_weight,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
delay_non_cancelled,55,0.3618473229525105,0.7052670309372563,0.39976496834559727,0.53,24,7,2.0,0.08,0.7,0.8,2.0,0.01,5.0
delay_non_cancelled,95,0.3618435077766362,0.7075284937388411,0.40130788003000306,0.54,103,6,5.0,0.05,0.7,1.0,0.1,0.001,10.0
delay_non_cancelled,30,0.3618306393065919,0.7047000700704481,0.3988722523515206,0.53,184,7,5.0,0.01,1.0,0.9,0.5,0.001,5.0
delay_non_cancelled,40,0.36179407132828767,0.708712205853793,0.4016988555649834,0.54,60,9,1.0,0.08,0.9,1.0,0.3,1.0,2.0
delay_non_cancelled,63,0.3617852833490281,0.7088564676025129,0.4020244265900781,0.54,368,4,3.0,0.1,0.6,0.6,2.0,0.001,0.5
delay_non_cancelled,82,0.3617739105195128,0.7084216739256526,0.40188100324872367,0.54,113,7,5.0,0.05,0.9,1.0,0.5,1.0,5.0
delay_non_cancelled,74,0.36176285969631405,0.7077277517419281,0.40148853468842616,0.54,279,6,10.0,0.02,1.0,0.9,0.0,1.0,1.0
delay_non_cancelled,60,0.361755050417696,0.7090657513123378,0.40216834398489065,0.54,250,5,5.0,0.1,1.0,0.6,1.0,1.0,5.0
delay_non_cancelled,72,0.36172826337058617,0.7085770226163128,0.4017124628728674,0.54,153,9,2.0,0.03,0.9,1.0,0.5,0.0,1.0
delay_non_cancelled,76,0.3616593378928355,0.703523624576343,0.39803183398410563,0.53,185,6,8.0,0.01,0.9,0.9,0.0,0.01,0.5
delay_non_cancelled,34,0.3616505439940295,0.709363052379445,0.40221151376909015,0.54,192,6,2.0,0.08,0.9,0.6,0.1,0.001,5.0
delay_non_cancelled,47,0.36163974110566777,0.7088856988020606,0.40207427172173954,0.54,686,5,2.0,0.03,0.9,1.0,1.0,0.01,2.0
delay_non_cancelled,89,0.36160944271157425,0.7029863443443789,0.3977967232676823,0.54,211,5,1.0,0.01,0.7,0.8,1.0,0.001,0.5
delay_non_cancelled,1,0.361561708229193,0.7086506374875112,0.40194324989044583,0.54,347,4,3.0,0.1,0.8,0.6,0.3,0.01,5.0
delay_non_cancelled,22,0.3615262557416791,0.708681299976115,0.4014433704468357,0.54,136,6,1.0,0.1,0.8,0.8,0.1,0.1,2.0
delay_non_cancelled,67,0.3615025849023323,0.7083497844880282,0.40161978977598717,0.54,359,4,10.0,0.1,0.9,1.0,2.0,0.001,1.0
delay_non_cancelled,84,0.3614730156856483,0.7087401090972575,0.4018287139514992,0.54,113,8,1.0,0.05,0.7,1.0,0.0,0.0,2.0
delay_non_cancelled,73,0.361464503515874,0.7034872622699242,0.39817101614686806,0.53,118,5,8.0,0.02,1.0,0.8,1.0,1.0,1.0
delay_non_cancelled,36,0.36144196505222265,0.7082713686352496,0.40160774972926494,0.54,73,7,3.0,0.08,1.0,1.0,0.0,0.1,10.0
delay_non_cancelled,11,0.3613984546574154,0.7090751926451704,0.4016581916364889,0.54,214,6,8.0,0.1,0.7,0.6,0.3,0.1,10.0
delay_non_cancelled,46,0.3613806633664366,0.7084397282283381,0.401702027847215,0.54,283,5,8.0,0.08,1.0,1.0,0.3,1.0,2.0
delay_non_cancelled,77,0.36133670853669925,0.7086542711911474,0.40172654077073616,0.54,126,6,10.0,0.08,0.6,0.8,0.5,0.001,1.0
delay_non_cancelled,43,0.3612372506562848,0.7083977810778479,0.4017392457026471,0.54,106,6,10.0,0.08,0.7,1.0,2.0,0.0,2.0
delay_non_cancelled,51,0.3612246869130825,0.7073227140540597,0.40106925914867836,0.54,372,4,10.0,0.03,1.0,0.6,0.3,0.01,5.0
delay_non_cancelled,3,0.36119123046090434,0.7043995615347203,0.3988589314088796,0.54,402,4,5.0,0.01,0.6,0.7,2.0,0.0,5.0
delay_non_cancelled,83,0.36114693409085796,0.7042054220595273,0.39848228515990614,0.54,384,4,5.0,0.01,0.9,0.6,2.0,0.01,2.0
delay_non_cancelled,14,0.36108091610498394,0.7006050554922969,0.39524230528933996,0.53,35,4,8.0,0.05,0.9,0.8,0.0,1.0,10.0
delay_non_cancelled,96,0.36103404485697704,0.7073549408843434,0.4008982337920649,0.54,43,7,10.0,0.1,0.9,1.0,1.0,0.0,10.0
delay_non_cancelled,70,0.36099689178813316,0.7070570594730802,0.4007516829814097,0.54,31,8,3.0,0.1,1.0,0.9,0.3,0.001,10.0
delay_non_cancelled,49,0.36099255770888555,0.7071545788342173,0.4009988641328091,0.54,505,4,2.0,0.02,1.0,0.7,0.5,0.001,0.5
delay_non_cancelled,88,0.36095232718385434,0.7086539405191986,0.40173146102794205,0.54,162,6,1.0,0.1,1.0,0.7,0.3,0.001,5.0
delay_non_cancelled,16,0.36085292980644895,0.7074323807167459,0.4013255076918892,0.53,37,8,3.0,0.1,0.8,1.0,0.0,0.01,5.0
delay_non_cancelled,13,0.3608023293964007,0.7030066311876879,0.3974836393994568,0.53,175,6,3.0,0.01,0.6,1.0,2.0,0.1,1.0
delay_non_cancelled,17,0.3607892132842754,0.7083620436057114,0.4016157732376714,0.54,259,5,1.0,0.08,0.7,1.0,0.1,0.1,0.5
delay_non_cancelled,94,0.3607468971823822,0.7085446169307523,0.40182633003630036,0.54,107,6,5.0,0.1,0.8,1.0,0.5,0.0,2.0
delay_non_cancelled,37,0.3606632193181723,0.7052862510056619,0.3991055611907736,0.52,16,8,1.0,0.1,0.8,0.9,0.5,0.01,0.5
delay_non_cancelled,52,0.3606573722483619,0.7014063530279533,0.3963704691045121,0.53,117,4,2.0,0.02,0.8,0.7,1.0,0.1,1.0
delay_non_cancelled,85,0.36065199538582104,0.7014808667211159,0.396249342896267,0.54,118,4,5.0,0.02,0.6,0.8,0.5,0.0,0.5
delay_non_cancelled,24,0.3606297924897803,0.7066211500043352,0.4003495929990238,0.53,22,10,8.0,0.1,0.7,1.0,1.0,1.0,0.5
delay_non_cancelled,71,0.36053653226765703,0.708475669954334,0.40152810111026865,0.54,126,6,5.0,0.1,0.9,0.9,0.5,0.1,2.0
delay_non_cancelled,86,0.3605064816404412,0.7025592179592786,0.3971836732073787,0.54,90,4,8.0,0.03,0.8,0.6,0.0,0.1,1.0
delay_non_cancelled,99,0.36039255850558016,0.7052954710735924,0.39929245607045216,0.53,20,8,2.0,0.1,1.0,1.0,1.0,0.1,1.0
delay_non_cancelled,69,0.3603475257456522,0.7018704363113656,0.39670647835029826,0.54,32,4,8.0,0.08,0.9,0.9,2.0,0.001,10.0
delay_non_cancelled,75,0.3603113911876078,0.708866714299831,0.4018743157618575,0.54,130,6,2.0,0.1,0.7,1.0,0.5,0.001,2.0
delay_non_cancelled,4,0.3596112330694223,0.7015025699937465,0.3961811860931988,0.54,31,4,3.0,0.08,0.9,0.7,2.0,0.001,2.0
delay_non_cancelled,31,0.3595595780126939,0.7035106091890528,0.3985103981603593,0.54,186,4,5.0,0.02,0.6,1.0,0.5,0.0,10.0
delay_non_cancelled,100,0.3595440585413181,0.7053465500447402,0.3998318482992112,0.54,70,4,3.0,0.08,0.6,1.0,1.0,1.0,0.5
