model_a,model_b,mode,recall_floor,thr_a,thr_b,accuracy,macro_f1,score,ontime_recall,delay_recall,cancel_recall,model_a_prauc,model_b_prauc,balanced
A_3to1_focal,B_1to1,macro_f1,0.25,0.02,0.16,0.5921,0.3983,0.3983,0.673,0.3317,0.3874,0.1073,0.3629,0.15430142
A_3to1_focal,B_1to1,cost_sensitive,0.25,0.02,0.15,0.5697,0.3949,0.1945,0.6285,0.3853,0.3874,0.1073,0.3629,0.15298426
A_3to1_focal,B_1to1,macro_f1,0.3,0.02,0.16,0.5921,0.3983,0.3983,0.673,0.3317,0.3874,0.1073,0.3629,0.15430142
A_3to1_focal,B_1to1,cost_sensitive,0.3,0.02,0.15,0.5697,0.3949,0.1945,0.6285,0.3853,0.3874,0.1073,0.3629,0.15298426
A_3to1_focal,B_1to1,macro_f1,0.35,0.02,0.16,0.5921,0.3983,0.3983,0.673,0.3317,0.3874,0.1073,0.3629,0.15430142
A_3to1_focal,B_1to1,cost_sensitive,0.35,0.02,0.15,0.5697,0.3949,0.1945,0.6285,0.3853,0.3874,0.1073,0.3629,0.15298426
A_3to1_focal,B_1to1,macro_f1,0.4,0.01,0.11,0.0897,0.0856,0.0856,0.07,0.0368,0.957,0.1073,0.3629,0.0819192
A_3to1_focal,B_1to1,cost_sensitive,0.4,0.01,0.1,0.0876,0.0855,0.0677,0.0659,0.041,0.957,0.1073,0.3629,0.08182350000000001
A_3to1_focal,B_1to1,macro_f1,0.5,0.01,0.11,0.0897,0.0856,0.0856,0.07,0.0368,0.957,0.1073,0.3629,0.0819192
A_3to1_focal,B_1to1,cost_sensitive,0.5,0.01,0.1,0.0876,0.0855,0.0677,0.0659,0.041,0.957,0.1073,0.3629,0.08182350000000001
A_3to1_logistic,B_original,macro_f1,0.0,0.05,0.18,0.6932,0.449,0.449,0.7979,0.395,0.1559,0.1213,0.366,0.06999910000000001
A_3to1_logistic,B_original,cost_sensitive,0.0,0.05,0.16,0.6844,0.4485,0.2455,0.7794,0.4198,0.1559,0.1213,0.366,0.06992115
A_3to1_logistic,B_original,macro_f1,0.25,0.02,0.17,0.6213,0.4111,0.4111,0.7135,0.3258,0.3781,0.1213,0.366,0.15543691
A_3to1_logistic,B_original,cost_sensitive,0.25,0.02,0.15,0.6032,0.4096,0.2088,0.6765,0.3726,0.3781,0.1213,0.366,0.15486976
A_3to1_logistic,B_original,macro_f1,0.3,0.02,0.17,0.6213,0.4111,0.4111,0.7135,0.3258,0.3781,0.1213,0.366,0.15543691
A_3to1_logistic,B_original,cost_sensitive,0.3,0.02,0.15,0.6032,0.4096,0.2088,0.6765,0.3726,0.3781,0.1213,0.366,0.15486976
A_3to1_logistic,B_original,macro_f1,0.35,0.02,0.17,0.6213,0.4111,0.4111,0.7135,0.3258,0.3781,0.1213,0.366,0.15543691
A_3to1_logistic,B_original,cost_sensitive,0.35,0.02,0.15,0.6032,0.4096,0.2088,0.6765,0.3726,0.3781,0.1213,0.366,0.15486976
A_3to1_logistic,B_original,macro_f1,0.4,0.01,0.12,0.1651,0.151,0.151,0.1626,0.0694,0.8979,0.1213,0.366,0.1355829
A_3to1_logistic,B_original,cost_sensitive,0.4,0.01,0.1,0.1507,0.1488,0.0904,0.1358,0.0972,0.8979,0.1213,0.366,0.13360752
A_3to1_logistic,B_original,macro_f1,0.5,0.01,0.12,0.1651,0.151,0.151,0.1626,0.0694,0.8979,0.1213,0.366,0.1355829
A_3to1_logistic,B_original,cost_sensitive,0.5,0.01,0.1,0.1507,0.1488,0.0904,0.1358,0.0972,0.8979,0.1213,0.366,0.13360752
A_3to1_logistic,B_2to1,macro_f1,0.0,0.05,0.17,0.6855,0.448,0.448,0.7825,0.4134,0.1559,0.1213,0.3649,0.06984320000000001
A_3to1_logistic,B_2to1,cost_sensitive,0.0,0.05,0.16,0.6659,0.4452,0.2453,0.7429,0.463,0.1559,0.1213,0.3649,0.06940668
A_3to1_logistic,B_2to1,macro_f1,0.25,0.02,0.17,0.6207,0.4105,0.4105,0.7131,0.3244,0.3781,0.1213,0.3649,0.15521005
A_3to1_logistic,B_2to1,cost_sensitive,0.25,0.02,0.16,0.6047,0.4093,0.2085,0.6803,0.3662,0.3781,0.1213,0.3649,0.15475633
A_3to1_logistic,B_2to1,macro_f1,0.3,0.02,0.17,0.6207,0.4105,0.4105,0.7131,0.3244,0.3781,0.1213,0.3649,0.15521005
A_3to1_logistic,B_2to1,cost_sensitive,0.3,0.02,0.16,0.6047,0.4093,0.2085,0.6803,0.3662,0.3781,0.1213,0.3649,0.15475633
A_3to1_logistic,B_2to1,macro_f1,0.35,0.02,0.17,0.6207,0.4105,0.4105,0.7131,0.3244,0.3781,0.1213,0.3649,0.15521005
A_3to1_logistic,B_2to1,cost_sensitive,0.35,0.02,0.16,0.6047,0.4093,0.2085,0.6803,0.3662,0.3781,0.1213,0.3649,0.15475633
A_3to1_logistic,B_2to1,macro_f1,0.4,0.01,0.12,0.1616,0.1512,0.1512,0.1558,0.0773,0.8979,0.1213,0.3649,0.13576248000000002
A_3to1_logistic,B_2to1,cost_sensitive,0.4,0.01,0.1,0.1522,0.1493,0.0903,0.1384,0.095,0.8979,0.1213,0.3649,0.13405646999999998
A_3to1_logistic,B_2to1,macro_f1,0.5,0.01,0.12,0.1616,0.1512,0.1512,0.1558,0.0773,0.8979,0.1213,0.3649,0.13576248000000002
A_3to1_logistic,B_2to1,cost_sensitive,0.5,0.01,0.1,0.1522,0.1493,0.0903,0.1384,0.095,0.8979,0.1213,0.3649,0.13405646999999998
A_3to1_logistic,B_1to1,macro_f1,0.0,0.06,0.17,0.7037,0.4475,0.4475,0.8192,0.372,0.1306,0.1213,0.3629,0.058443499999999995
A_3to1_logistic,B_1to1,cost_sensitive,0.0,0.05,0.16,0.6751,0.4465,0.2452,0.7617,0.4389,0.1559,0.1213,0.3629,0.06960935
A_3to1_logistic,B_1to1,macro_f1,0.25,0.02,0.16,0.6126,0.4099,0.4099,0.6968,0.3448,0.3781,0.1213,0.3629,0.15498319
A_3to1_logistic,B_1to1,cost_sensitive,0.25,0.02,0.15,0.5885,0.4059,0.2083,0.6494,0.4006,0.3781,0.1213,0.3629,0.15347079
A_3to1_logistic,B_1to1,macro_f1,0.3,0.02,0.16,0.6126,0.4099,0.4099,0.6968,0.3448,0.3781,0.1213,0.3629,0.15498319
A_3to1_logistic,B_1to1,cost_sensitive,0.3,0.02,0.15,0.5885,0.4059,0.2083,0.6494,0.4006,0.3781,0.1213,0.3629,0.15347079
A_3to1_logistic,B_1to1,macro_f1,0.35,0.02,0.16,0.6126,0.4099,0.4099,0.6968,0.3448,0.3781,0.1213,0.3629,0.15498319
A_3to1_logistic,B_1to1,cost_sensitive,0.35,0.02,0.15,0.5885,0.4059,0.2083,0.6494,0.4006,0.3781,0.1213,0.3629,0.15347079
A_3to1_logistic,B_1to1,macro_f1,0.4,0.01,0.12,0.1644,0.1511,0.1511,0.1612,0.0711,0.8979,0.1213,0.3629,0.13567269
A_3to1_logistic,B_1to1,cost_sensitive,0.4,0.01,0.1,0.1493,0.1483,0.0904,0.1333,0.0995,0.8979,0.1213,0.3629,0.13315857
A_3to1_logistic,B_1to1,macro_f1,0.5,0.01,0.12,0.1644,0.1511,0.1511,0.1612,0.0711,0.8979,0.1213,0.3629,0.13567269
A_3to1_logistic,B_1to1,cost_sensitive,0.5,0.01,0.1,0.1493,0.1483,0.0904,0.1333,0.0995,0.8979,0.1213,0.3629,0.13315857
