model_a,model_b,mode,recall_floor,thr_a,thr_b,accuracy,macro_f1,score,ontime_recall,delay_recall,cancel_recall,model_a_prauc,model_b_prauc,balanced
A_1to1_logistic,B_original,macro_f1,0.3,0.02,0.16,0.6219,0.4112,0.4112,0.7153,0.3204,0.3884,0.1251,0.366,0.15971008
A_1to1_logistic,B_original,cost_sensitive,0.3,0.02,0.15,0.6049,0.4099,0.2103,0.6808,0.3641,0.3884,0.1251,0.366,0.15920516
A_1to1_logistic,B_original,macro_f1,0.35,0.02,0.16,0.6219,0.4112,0.4112,0.7153,0.3204,0.3884,0.1251,0.366,0.15971008
A_1to1_logistic,B_original,cost_sensitive,0.35,0.02,0.15,0.6049,0.4099,0.2103,0.6808,0.3641,0.3884,0.1251,0.366,0.15920516
A_1to1_logistic,B_original,macro_f1,0.4,0.01,0.12,0.2164,0.191,0.191,0.2241,0.0968,0.8631,0.1251,0.366,0.1648521
A_1to1_logistic,B_original,cost_sensitive,0.4,0.01,0.1,0.1944,0.1854,0.1041,0.1842,0.1356,0.8631,0.1251,0.366,0.16001874
A_1to1_logistic,B_original,macro_f1,0.5,0.01,0.12,0.2164,0.191,0.191,0.2241,0.0968,0.8631,0.1251,0.366,0.1648521
A_1to1_logistic,B_original,cost_sensitive,0.5,0.01,0.1,0.1944,0.1854,0.1041,0.1842,0.1356,0.8631,0.1251,0.366,0.16001874
A_1to1_logistic,B_2to1,macro_f1,0.0,0.04,0.17,0.6858,0.4502,0.4502,0.7833,0.4108,0.1652,0.1251,0.3649,0.07437304
A_1to1_logistic,B_2to1,cost_sensitive,0.0,0.04,0.16,0.6662,0.4474,0.2508,0.7436,0.4604,0.1652,0.1251,0.3649,0.07391048000000001
A_1to1_logistic,B_2to1,macro_f1,0.25,0.03,0.17,0.6572,0.4314,0.4314,0.755,0.358,0.2991,0.1251,0.3649,0.12903173999999998
A_1to1_logistic,B_2to1,cost_sensitive,0.25,0.03,0.16,0.6394,0.4296,0.2311,0.7187,0.4038,0.2991,0.1251,0.3649,0.12849335999999997
A_1to1_logistic,B_2to1,macro_f1,0.3,0.02,0.17,0.6224,0.4105,0.4105,0.7174,0.3156,0.3884,0.1251,0.3649,0.1594382
A_1to1_logistic,B_2to1,cost_sensitive,0.3,0.02,0.16,0.6065,0.4096,0.21,0.6846,0.3575,0.3884,0.1251,0.3649,0.15908864
A_1to1_logistic,B_2to1,macro_f1,0.35,0.02,0.17,0.6224,0.4105,0.4105,0.7174,0.3156,0.3884,0.1251,0.3649,0.1594382
A_1to1_logistic,B_2to1,cost_sensitive,0.35,0.02,0.16,0.6065,0.4096,0.21,0.6846,0.3575,0.3884,0.1251,0.3649,0.15908864
A_1to1_logistic,B_2to1,macro_f1,0.4,0.01,0.13,0.2168,0.1909,0.1909,0.2249,0.0957,0.8631,0.1251,0.3649,0.16476579
A_1to1_logistic,B_2to1,cost_sensitive,0.4,0.01,0.1,0.1966,0.1863,0.1041,0.1879,0.1324,0.8631,0.1251,0.3649,0.16079553
A_1to1_logistic,B_2to1,macro_f1,0.5,0.01,0.13,0.2168,0.1909,0.1909,0.2249,0.0957,0.8631,0.1251,0.3649,0.16476579
A_1to1_logistic,B_2to1,cost_sensitive,0.5,0.01,0.1,0.1966,0.1863,0.1041,0.1879,0.1324,0.8631,0.1251,0.3649,0.16079553
A_1to1_logistic,B_1to1,macro_f1,0.0,0.04,0.17,0.7009,0.4496,0.4496,0.8168,0.3619,0.1652,0.1251,0.3629,0.07427392000000001
A_1to1_logistic,B_1to1,cost_sensitive,0.0,0.04,0.16,0.6753,0.4487,0.2507,0.7624,0.4363,0.1652,0.1251,0.3629,0.07412524000000001
A_1to1_logistic,B_1to1,macro_f1,0.25,0.03,0.16,0.648,0.4305,0.4305,0.7365,0.3808,0.2991,0.1251,0.3629,0.12876254999999998
A_1to1_logistic,B_1to1,cost_sensitive,0.25,0.03,0.16,0.648,0.4305,0.2308,0.7365,0.3808,0.2991,0.1251,0.3629,0.12876254999999998
A_1to1_logistic,B_1to1,macro_f1,0.3,0.02,0.16,0.6145,0.4101,0.4101,0.7012,0.3359,0.3884,0.1251,0.3629,0.15928284
A_1to1_logistic,B_1to1,cost_sensitive,0.3,0.02,0.15,0.5904,0.4064,0.2099,0.6538,0.392,0.3884,0.1251,0.3629,0.15784576
A_1to1_logistic,B_1to1,macro_f1,0.35,0.02,0.16,0.6145,0.4101,0.4101,0.7012,0.3359,0.3884,0.1251,0.3629,0.15928284
A_1to1_logistic,B_1to1,cost_sensitive,0.35,0.02,0.15,0.5904,0.4064,0.2099,0.6538,0.392,0.3884,0.1251,0.3629,0.15784576
A_1to1_logistic,B_1to1,macro_f1,0.4,0.01,0.12,0.2156,0.1908,0.1908,0.2226,0.0982,0.8631,0.1251,0.3629,0.16467948
A_1to1_logistic,B_1to1,cost_sensitive,0.4,0.01,0.11,0.2006,0.1877,0.1041,0.1951,0.1258,0.8631,0.1251,0.3629,0.16200387
A_1to1_logistic,B_1to1,macro_f1,0.5,0.01,0.12,0.2156,0.1908,0.1908,0.2226,0.0982,0.8631,0.1251,0.3629,0.16467948
A_1to1_logistic,B_1to1,cost_sensitive,0.5,0.01,0.11,0.2006,0.1877,0.1041,0.1951,0.1258,0.8631,0.1251,0.3629,0.16200387
A_2to1_focal,B_original,macro_f1,0.0,0.06,0.18,0.6949,0.4434,0.4434,0.7989,0.4045,0.1185,0.106,0.366,0.0525429
A_2to1_focal,B_original,cost_sensitive,0.0,0.05,0.15,0.658,0.4383,0.2329,0.7312,0.4658,0.1656,0.106,0.366,0.07258248
A_2to1_focal,B_original,macro_f1,0.25,0.03,0.18,0.6634,0.4297,0.4297,0.7642,0.3608,0.2532,0.106,0.366,0.10880004
A_2to1_focal,B_original,cost_sensitive,0.25,0.03,0.15,0.6362,0.4268,0.2215,0.7085,0.4319,0.2532,0.106,0.366,0.10806576
A_2to1_focal,B_original,macro_f1,0.3,0.02,0.17,0.6113,0.407,0.407,0.6979,0.3364,0.3661,0.106,0.366,0.1490027
A_2to1_focal,B_original,cost_sensitive,0.3,0.02,0.15,0.5935,0.4052,0.2018,0.6614,0.3827,0.3661,0.106,0.366,0.14834371999999998
A_2to1_focal,B_original,macro_f1,0.35,0.02,0.17,0.6113,0.407,0.407,0.6979,0.3364,0.3661,0.106,0.366,0.1490027
A_2to1_focal,B_original,cost_sensitive,0.35,0.02,0.15,0.5935,0.4052,0.2018,0.6614,0.3827,0.3661,0.106,0.366,0.14834371999999998
A_2to1_focal,B_original,macro_f1,0.4,0.01,0.11,0.1018,0.0982,0.0982,0.0838,0.0454,0.9493,0.106,0.366,0.09322126
A_2to1_focal,B_original,cost_sensitive,0.4,0.01,0.1,0.0979,0.0977,0.0724,0.0766,0.0528,0.9493,0.106,0.366,0.09274661
A_2to1_focal,B_original,macro_f1,0.5,0.01,0.11,0.1018,0.0982,0.0982,0.0838,0.0454,0.9493,0.106,0.366,0.09322126
A_2to1_focal,B_original,cost_sensitive,0.5,0.01,0.1,0.0979,0.0977,0.0724,0.0766,0.0528,0.9493,0.106,0.366,0.09274661
A_2to1_focal,B_2to1,macro_f1,0.0,0.06,0.17,0.6871,0.4422,0.4422,0.7834,0.4232,0.1185,0.106,0.3649,0.052400699999999995
